start_date,end_date,asset_pair_symbol,exchange,total_volume_usd_dollars,market_maker_volume_usd_dollars,average_bid_ask_spread_ratio,market_maker_depth_bid_50_bps_usd_dollars,market_maker_depth_ask_50_bps_usd_dollars,market_maker_depth_bid_100_bps_usd_dollars,market_maker_depth_ask_100_bps_usd_dollars,market_maker_depth_bid_200_bps_usd_dollars,market_maker_depth_ask_200_bps_usd_dollars
1/5/2026,1/5/2026,NEAR-USDT,binance,37332622,3897810,0.000571164,64745.48,58738.7,137345.66,108138.93,214421.82,164120.7
1/6/2026,1/6/2026,NEAR-USDT,binance,43638778,3795047,0.000379965,54459.08,47391.96,120799.03,82351.59,192442.85,127151.46
1/7/2026,1/7/2026,NEAR-USDT,binance,28886956,2957196,0.000532157,68002.75,59982.16,148292.23,106246.94,251800.64,153202.85
1/8/2026,1/8/2026,NEAR-USDT,binance,21887662,2848983,0.000323074,94452.06,103443.86,100881.49,112684.89,100881.49,112684.89
1/9/2026,1/9/2026,NEAR-USDT,binance,18854856,1184799,0.00052131,86409.4,83300.75,88965.66,85862.83,88965.66,85862.83
1/10/2026,1/10/2026,NEAR-USDT,binance,9769486,1146265,0.00044552,66342.68,70425.29,138885.03,123247.47,202942.27,170327.92
1/11/2026,1/11/2026,NEAR-USDT,binance,13815141,1293013,0.000494762,93274.16,92247,192507.67,166487.48,286018.98,234504.03
1/5/2026,1/5/2026,NEAR-USDT,bybit,7975409,1479025,0.000565836,33127.33,23429.88,57745.81,35111.57,119062.32,64827.25
1/6/2026,1/6/2026,NEAR-USDT,bybit,9908048,1264130,0.000536751,20391.38,14831.35,32910.44,23840.98,55082.22,42767.13
1/7/2026,1/7/2026,NEAR-USDT,bybit,5616916,1091184,0.000325831,29794.83,21807.32,52970.25,32862.52,112959.04,59965.26
1/8/2026,1/8/2026,NEAR-USDT,bybit,5001311,633830,0.000384912,17687.45,14766.51,19588.51,16417.62,19588.51,16417.62
1/9/2026,1/9/2026,NEAR-USDT,bybit,4792597,785501,0.000327387,30121.01,26405.31,32080.83,28592.68,32080.83,28592.68
1/10/2026,1/10/2026,NEAR-USDT,bybit,1551209,296413,0.000458971,30650.66,26742.49,32513.94,26874.7,32513.94,26874.7
1/11/2026,1/11/2026,NEAR-USDT,bybit,2271182,321613,0.000427054,29866.92,22675.87,33769.11,22929.71,33769.11,22929.71
1/5/2026,1/5/2026,NEAR-USDT,okx,5541897,616152,0.000414042,34327.27,24729.13,53634.87,38242.6,84359.96,61969.91
1/6/2026,1/6/2026,NEAR-USDT,okx,5219546,753690,0.000336836,41135.83,33949.88,68367.41,52741.09,105175.93,79900.13
1/7/2026,1/7/2026,NEAR-USDT,okx,3559820,643127,0.000330927,24755.74,18035.55,38316.63,27623.39,62245.71,45362.94
1/8/2026,1/8/2026,NEAR-USDT,okx,2474359,489805,0.000447059,50521.32,34847.88,51308.42,43960.59,51308.42,43960.59
1/9/2026,1/9/2026,NEAR-USDT,okx,1921308,317296,0.000498284,37234.35,34198.4,37282.06,35012.86,37282.06,35012.86
1/10/2026,1/10/2026,NEAR-USDT,okx,1108325,191275,0.00050337,53140.02,44914.48,79456.58,69902.36,120665.81,103322.95
1/11/2026,1/11/2026,NEAR-USDT,okx,1509009,190076,0.000563772,31046.03,29668.82,48959.52,46740.15,79129.33,70297.85
1/5/2026,1/5/2026,NEAR-USDT,gate,72188550,9516090,0.000581204,106574.49,84230.11,191176.7,164471.28,244827.25,224702.46
1/6/2026,1/6/2026,NEAR-USDT,gate,47556915,9095743,0.000544213,58982.85,49551.36,108938.71,98627.37,141488.76,137869.38
1/7/2026,1/7/2026,NEAR-USDT,gate,31602610,5796002,0.000543095,95537.08,92697.64,192467.09,181752.74,277183.61,246629.14
1/8/2026,1/8/2026,NEAR-USDT,gate,3281602,649879,0.000499326,972.2,2579.6,972.2,2579.6,972.2,2579.6
1/9/2026,1/9/2026,NEAR-USDT,gate,2985006,582710,0.000479736,373.51,734.31,373.51,734.31,373.51,734.31
1/10/2026,1/10/2026,NEAR-USDT,gate,15425479,2120200,0.000307139,75954.33,73075.98,144143.34,141852.14,188869.29,196523.4
1/11/2026,1/11/2026,NEAR-USDT,gate,23229527,4513495,0.00045046,57577.79,56169.94,111128.92,110396.1,147283.21,148262.95
