report_start,report_end,exchange,bps_bucket,obligation_usd,imc_liquidity_usd,market_liquidity_usd,kpi_ratio_imc_over_obligation,kpi_percent_of_obligation,kpi_outperform,capture_pct_imc_over_market,capture_percent,uptime_pct,avg_bid_ask_spread_usd,avg_bid_ask_spread_bps,market_share_pct,source_file
14/2/2025,14/3/2025,Binance,15,49400,46500,342000,0.941295547,94.12955466,FALSE,0.13596491228070176,13.596491228070176,86.99,0.001,3.3,6,Frijt Trading - NEAR Report 2025-02-14 - 2025-03-14.pdf
14/2/2025,14/3/2025,Binance,25,123600,119200,592700,0.964401294,96.44012945,FALSE,0.2011135481693943,20.111354816939432,86.99,0.001,3.3,6,Frijt Trading - NEAR Report 2025-02-14 - 2025-03-14.pdf
14/2/2025,14/3/2025,Binance,50,164800,160400,825600,0.973300971,97.33009709,FALSE,0.19428294573643412,19.428294573643413,86.99,0.001,3.3,6,Frijt Trading - NEAR Report 2025-02-14 - 2025-03-14.pdf
14/2/2025,14/3/2025,Binance,100,247200,242900,964600,0.982605178,98.2605178,FALSE,0.25181422351233673,25.181422351233675,86.99,0.001,3.3,6,Frijt Trading - NEAR Report 2025-02-14 - 2025-03-14.pdf
14/2/2025,14/3/2025,Binance,200,412000,404900,1126600,0.98276699,98.27669903,FALSE,0.35939996449494055,35.93999644949405,86.99,0.001,3.3,6,Frijt Trading - NEAR Report 2025-02-14 - 2025-03-14.pdf
14/2/2025,14/3/2025,Bybit,15,33000,27700,98100,0.839393939,83.93939394,FALSE,0.2823649337410805,28.23649337410805,76.72,0.001245,4.1,14.2,Frijt Trading - NEAR Report 2025-02-14 - 2025-03-14.pdf
14/2/2025,14/3/2025,Bybit,25,82400,69600,164800,0.844660194,84.46601942,FALSE,0.4223300970873786,42.23300970873786,76.72,0.001245,4.1,14.2,Frijt Trading - NEAR Report 2025-02-14 - 2025-03-14.pdf
14/2/2025,14/3/2025,Bybit,50,123600,105000,225400,0.849514563,84.95145631,FALSE,0.4658385093167702,46.58385093167702,76.72,0.001245,4.1,14.2,Frijt Trading - NEAR Report 2025-02-14 - 2025-03-14.pdf
14/2/2025,14/3/2025,Bybit,100,164800,140600,294200,0.85315534,85.31553398,FALSE,0.477906186,47.79061863,76.72,0.001245,4.1,14.2,Frijt Trading - NEAR Report 2025-02-14 - 2025-03-14.pdf
14/2/2025,14/3/2025,Bybit,200,329500,281300,460300,0.853717754,85.37177542,FALSE,0.611123181,61.11231805,76.72,0.001245,4.1,14.2,Frijt Trading - NEAR Report 2025-02-14 - 2025-03-14.pdf
14/2/2025,14/3/2025,OKX,15,33000,30400,124300,0.921212121,92.12121212,FALSE,0.24456958970233306,24.456958970233305,86.71,0.001392,4.6,3.5,Frijt Trading - NEAR Report 2025-02-14 - 2025-03-14.pdf
