report_start,report_end,exchange,bps_bucket,kpi,imc_liquidity_usd,market_liquidity_usd,kpi_ratio_imc_over_obligation,kpi_percent_of_obligation,kpi_outperform,pct_of_market_liqudity,exchange_uptime_pct,avg_bid_ask_spread_bps,trading_volume_ms,source_file
14/2/2025,14/3/2025,Binance,15,49400,46500,342000,0.941295547,94.12955466,FALSE,13.59649123,86.99,3.3,6,Frijt Trading - NEAR Report 2025-02-14 - 2025-03-14.pdf
14/2/2025,14/3/2025,Binance,25,123600,119200,592700,0.964401294,96.44012945,FALSE,20.11135482,86.99,3.3,6,Frijt Trading - NEAR Report 2025-02-14 - 2025-03-14.pdf
14/2/2025,14/3/2025,Binance,50,164800,160400,825600,0.973300971,97.33009709,FALSE,19.42829457,86.99,3.3,6,Frijt Trading - NEAR Report 2025-02-14 - 2025-03-14.pdf
14/2/2025,14/3/2025,Binance,100,247200,242900,964600,0.982605178,98.2605178,FALSE,25.18142235,86.99,3.3,6,Frijt Trading - NEAR Report 2025-02-14 - 2025-03-14.pdf
14/2/2025,14/3/2025,Binance,200,412000,404900,1126600,0.98276699,98.27669903,FALSE,35.93999645,86.99,3.3,6,Frijt Trading - NEAR Report 2025-02-14 - 2025-03-14.pdf
14/2/2025,14/3/2025,Bybit,15,33000,27700,98100,0.839393939,83.93939394,FALSE,28.23649337,76.72,4.1,14.2,Frijt Trading - NEAR Report 2025-02-14 - 2025-03-14.pdf
14/2/2025,14/3/2025,Bybit,25,82400,69600,164800,0.844660194,84.46601942,FALSE,42.23300971,76.72,4.1,14.2,Frijt Trading - NEAR Report 2025-02-14 - 2025-03-14.pdf
14/2/2025,14/3/2025,Bybit,50,123600,105000,225400,0.849514563,84.95145631,FALSE,46.58385093,76.72,4.1,14.2,Frijt Trading - NEAR Report 2025-02-14 - 2025-03-14.pdf
14/2/2025,14/3/2025,Bybit,100,164800,140600,294200,0.85315534,85.31553398,FALSE,47.79061863,76.72,4.1,14.2,Frijt Trading - NEAR Report 2025-02-14 - 2025-03-14.pdf
14/2/2025,14/3/2025,Bybit,200,329500,281300,460300,0.853717754,85.37177542,FALSE,61.11231805,76.72,4.1,14.2,Frijt Trading - NEAR Report 2025-02-14 - 2025-03-14.pdf
14/2/2025,14/3/2025,OKX,15,33000,30400,124300,0.921212121,92.12121212,FALSE,24.45695897,86.71,4.6,3.5,Frijt Trading - NEAR Report 2025-02-14 - 2025-03-14.pdf
14/2/2025,14/3/2025,OKX,25,82400,78900,245800,0.957524272,95.75242718,FALSE,32.0992677,86.71,4.6,3.5,Frijt Trading - NEAR Report 2025-02-14 - 2025-03-14.pdf
14/2/2025,14/3/2025,OKX,50,123600,119200,434800,0.964401294,96.44012945,FALSE,27.4149034,86.71,4.6,3.5,Frijt Trading - NEAR Report 2025-02-14 - 2025-03-14.pdf
14/2/2025,14/3/2025,OKX,100,164800,160900,588600,0.976334951,97.63349515,FALSE,27.33605165,86.71,4.6,3.5,Frijt Trading - NEAR Report 2025-02-14 - 2025-03-14.pdf
14/2/2025,14/3/2025,OKX,200,329600,321800,802100,0.976334951,97.63349515,FALSE,40.11968582,86.71,4.6,3.5,Frijt Trading - NEAR Report 2025-02-14 - 2025-03-14.pdf
14/3/2025,14/4/2025,Binance,15,41300,44100,315000,1.06779661,106.779661,TRUE,14,96.76,4,4.1,Frijt Trading - NEAR Report 2025-03-14 - 2025-04-14.pdf
14/3/2025,14/4/2025,Binance,25,103200,112400,516600,1.089147287,108.9147287,TRUE,21.75764615,96.76,4,4.1,Frijt Trading - NEAR Report 2025-03-14 - 2025-04-14.pdf
14/3/2025,14/4/2025,Binance,50,137600,151300,721300,1.099563953,109.9563953,TRUE,20.97601553,96.76,4,4.1,Frijt Trading - NEAR Report 2025-03-14 - 2025-04-14.pdf
14/3/2025,14/4/2025,Binance,100,206400,229000,906000,1.109496124,110.9496124,TRUE,25.27593819,96.76,4,4.1,Frijt Trading - NEAR Report 2025-03-14 - 2025-04-14.pdf
14/3/2025,14/4/2025,Binance,200,344000,381600,1058600,1.109302326,110.9302326,TRUE,36.04761005,96.76,4,4.1,Frijt Trading - NEAR Report 2025-03-14 - 2025-04-14.pdf
14/3/2025,14/4/2025,Bybit,15,27500,30400,103500,1.105454545,110.5454545,TRUE,29.37198068,99.82,4.2,7.8,Frijt Trading - NEAR Report 2025-03-14 - 2025-04-14.pdf
14/3/2025,14/4/2025,Bybit,25,68800,76600,193700,1.113372093,111.3372093,TRUE,39.54568921,99.82,4.2,7.8,Frijt Trading - NEAR Report 2025-03-14 - 2025-04-14.pdf
14/3/2025,14/4/2025,Bybit,50,103200,115800,282500,1.122093023,112.2093023,TRUE,40.99115044,99.82,4.2,7.8,Frijt Trading - NEAR Report 2025-03-14 - 2025-04-14.pdf
14/3/2025,14/4/2025,Bybit,100,137600,155500,412000,1.130087209,113.0087209,TRUE,37.74271845,99.82,4.2,7.8,Frijt Trading - NEAR Report 2025-03-14 - 2025-04-14.pdf
14/3/2025,14/4/2025,Bybit,200,275200,311100,635600,1.130450581,113.0450581,TRUE,48.94587791,99.82,4.2,7.8,Frijt Trading - NEAR Report 2025-03-14 - 2025-04-14.pdf
14/3/2025,14/4/2025,OKX,15,27500,29100,150800,1.058181818,105.8181818,TRUE,19.29708223,96.63,4.6,2.5,Frijt Trading - NEAR Report 2025-03-14 - 2025-04-14.pdf
14/3/2025,14/4/2025,OKX,25,68800,74400,264200,1.081395349,108.1395349,TRUE,28.16048448,96.63,4.6,2.5,Frijt Trading - NEAR Report 2025-03-14 - 2025-04-14.pdf
14/3/2025,14/4/2025,OKX,50,103200,112400,431300,1.089147287,108.9147287,TRUE,26.06074658,96.63,4.6,2.5,Frijt Trading - NEAR Report 2025-03-14 - 2025-04-14.pdf
14/3/2025,14/4/2025,OKX,100,137600,151600,611500,1.101744186,110.1744186,TRUE,24.79149632,96.63,4.6,2.5,Frijt Trading - NEAR Report 2025-03-14 - 2025-04-14.pdf
14/3/2025,14/4/2025,OKX,200,275200,303300,885500,1.102107558,110.2107558,TRUE,34.25183512,96.63,4.6,2.5,Frijt Trading - NEAR Report 2025-03-14 - 2025-04-14.pdf
14/4/2025,14/5/2025,Binance,15,40800,44700,309200,1.095588235,109.5588235,TRUE,14.45666235,99.79,4.1,4.4,Frijt Trading - NEAR Report 2025-04-14 - 2025-05-14.pdf
14/4/2025,14/5/2025,Binance,25,102000,114300,509500,1.120588235,112.0588235,TRUE,22.43375859,99.79,4.1,4.4,Frijt Trading - NEAR Report 2025-04-14 - 2025-05-14.pdf
14/4/2025,14/5/2025,Binance,50,136000,153900,708900,1.131617647,113.1617647,TRUE,21.70969107,99.79,4.1,4.4,Frijt Trading - NEAR Report 2025-04-14 - 2025-05-14.pdf
14/4/2025,14/5/2025,Binance,100,204100,232800,906700,1.140617344,114.0617344,TRUE,25.67552664,99.79,4.1,4.4,Frijt Trading - NEAR Report 2025-04-14 - 2025-05-14.pdf
14/4/2025,14/5/2025,Binance,200,340100,388000,1061900,1.140840929,114.0840929,TRUE,36.53828044,99.79,4.1,4.4,Frijt Trading - NEAR Report 2025-04-14 - 2025-05-14.pdf
14/4/2025,14/5/2025,Bybit,15,27200,32800,97000,1.205882353,120.5882353,TRUE,33.81443299,99.88,4.2,5.6,Frijt Trading - NEAR Report 2025-04-14 - 2025-05-14.pdf
14/4/2025,14/5/2025,Bybit,25,68000,78900,180000,1.160294118,116.0294118,TRUE,43.83333333,99.88,4.2,5.6,Frijt Trading - NEAR Report 2025-04-14 - 2025-05-14.pdf
14/4/2025,14/5/2025,Bybit,50,102100,118400,272100,1.159647405,115.9647405,TRUE,43.51341419,99.88,4.2,5.6,Frijt Trading - NEAR Report 2025-04-14 - 2025-05-14.pdf
14/4/2025,14/5/2025,Bybit,100,136100,158300,394800,1.163115356,116.3115356,TRUE,40.09625127,99.88,4.2,5.6,Frijt Trading - NEAR Report 2025-04-14 - 2025-05-14.pdf
